,国家,新增确诊,累计确诊,治愈,死亡
168,塞舌尔,0,11,0,0
169,苏里南,0,10,1,6
170,佛得角,0,10,1,1
171,尼加拉瓜,0,9,1,4
172,冈比亚,0,9,1,2
173,梵蒂冈,0,8,0,2
174,毛里塔尼亚,0,7,1,2
175,东帝汶,2,6,0,1
176,布隆迪,0,5,1,0
177,不丹,0,5,0,2
178,巴布亚新几内亚,0,2,0,0
179,也门,0,1,0,0
